Tmt#,MC#,R_1,R_2,R_3,\theta_3,m_1,m_2,m_3,v_3,N/A,Escape (0.5),Collide (0.5)
3,12,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,13,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,14,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,15,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,16,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
4,1,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
4,2,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
4,3,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
4,4,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
4,5,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
4,6,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
4,7,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
4,8,4.55604026845638,0.182214765100671,1.23456375838926,0.764313648943826,29.0604026845638,1.25261744966443,28.7253691275168,2.84640945123907,1,0,0
